1, 0.05, 237
2, 0.15, 176
3, 0.25, 78
4, 0.35, 33
5, 0.45, 20
6, 0.55, 15
7, 0.65, 13
8, 0.75, 15
9, 0.85, 23
10, 0.95, 13
11, 1.05, 19
12, 1.15, 17
13, 1.25, 19
14, 1.35, 16
15, 1.45, 10
16, 1.55, 13
17, 1.65, 15
18, 1.75, 16
19, 1.85, 22
20, 1.95, 16
21, 2.05, 12
22, 2.15, 18
23, 2.25, 19
24, 2.35, 15
25, 2.45, 11
26, 2.55, 14
27, 2.65, 14
28, 2.75, 10
29, 2.85, 10
30, 2.95, 17
31, 3.05, 14
32, 3.15, 18
33, 3.25, 16
34, 3.35, 8
35, 3.45, 8
36, 3.55, 12
37, 3.65, 12
38, 3.75, 18
39, 3.85, 23
40, 3.95, 15
41, 4.05, 18
42, 4.15, 13
43, 4.25, 11
44, 4.35, 7
45, 4.45, 14
46, 4.55, 9
47, 4.65, 14
48, 4.75, 22
49, 4.85, 15
50, 4.95, 12
51, 5.05, 16
52, 5.15, 9
53, 5.25, 13
54, 5.35, 13
55, 5.45, 20
56, 5.55, 11
57, 5.65, 16
58, 5.75, 15
59, 5.85, 15
60, 5.95, 15
61, 6.05, 11
62, 6.15, 9
63, 6.25, 13
64, 6.35, 16
65, 6.45, 15
66, 6.55, 13
67, 6.65, 19
68, 6.75, 13
69, 6.85, 19
70, 6.95, 21
71, 7.05, 17
72, 7.15, 13
73, 7.25, 13
74, 7.35, 19
75, 7.45, 17
76, 7.55, 15
77, 7.65, 12
78, 7.75, 16
79, 7.85, 13
80, 7.95, 15
81, 8.05, 21
82, 8.15, 16
83, 8.25, 9
84, 8.35, 5
85, 8.45, 19
86, 8.55, 9
87, 8.65, 13
88, 8.75, 14
89, 8.85, 9
90, 8.95, 13
91, 9.05, 13
92, 9.15, 11
93, 9.25, 20
94, 9.35, 17
95, 9.45, 9
96, 9.55, 14
97, 9.65, 13
98, 9.75, 12
99, 9.85, 8
100, 9.95, 13
101, 10.05, 20
102, 10.15, 17
103, 10.25, 16
104, 10.35, 19
105, 10.45, 19
106, 10.55, 16
107, 10.65, 14
108, 10.75, 18
109, 10.85, 15
110, 10.95, 16
111, 11.05, 11
112, 11.15, 11
113, 11.25, 3
114, 11.35, 12
115, 11.45, 17
116, 11.55, 19
117, 11.65, 14
118, 11.75, 14
119, 11.85, 7
120, 11.95, 18
121, 12.05, 21
122, 12.15, 13
123, 12.25, 14
124, 12.35, 14
